N,P,K,temperature,humidity,ph,rainfall,label
8,129,156,29.76,68.2,5.88,121.24,maize
134,79,18,26.94,57.41,6.76,77.08,groundnut
54,77,32,29.13,61.41,7.22,78.01,maize
68,142,129,26.23,40.92,6.13,67.17,cotton
56,9,22,22.95,67.7,7.36,111.54,maize
120,102,129,25.17,71.91,7.14,147.64,sugarcane
59,79,200,33.47,76.86,7.3,177.58,sugarcane
7,109,203,20.16,57.62,7.46,95.55,wheat
95,51,45,26.71,69.41,6.06,135.24,sugarcane
63,88,40,20.02,59.81,5.73,66.18,maize
58,28,50,22.05,72.66,7.08,100.8,soybean
21,50,177,27.1,73.8,6.96,135.26,soybean
14,29,129,22.47,74.55,6.52,148.63,soybean
132,137,54,20.33,54.06,6.87,72.79,peas
66,72,39,29.59,56.34,7.2,93.65,groundnut
123,82,73,26.01,74.3,7.4,106.72,soybean
114,67,111,28.82,52.83,7.15,117.12,groundnut
18,103,141,10.52,47.81,6.27,70.91,wheat
65,9,122,19.96,47.91,7.46,46.34,barley
20,142,124,32.98,69.89,6.65,194.19,sugarcane
9,116,166,39.41,51.73,5.55,61.43,cotton
25,90,196,32.59,55.5,7.61,84.12,cotton
118,82,70,26.61,57.05,6.31,68.68,groundnut
118,112,120,34.53,66.26,6.95,63.14,groundnut
118,69,81,26.92,72.35,5.87,244.35,rice
78,93,88,20.34,63.33,7.3,128.69,maize
37,34,205,19.56,45.53,7.33,104.64,wheat
66,47,28,22.17,61.36,6.0,73.29,maize
77,39,40,32.9,83.57,6.64,184.93,sugarcane
57,126,157,18.66,58.2,6.14,89.5,peas
103,99,142,21.73,45.48,7.48,70.48,wheat
123,17,6,34.79,78.81,6.98,223.78,rice
52,5,195,16.0,53.69,6.97,89.94,wheat
54,127,32,18.32,46.02,6.97,51.5,barley
46,37,46,17.96,44.53,6.64,86.84,barley
130,119,146,15.2,30.74,6.0,97.78,barley
39,44,33,11.79,55.61,6.68,67.6,peas
13,63,7,29.37,72.31,6.1,154.8,sugarcane
108,56,182,17.38,48.22,6.31,47.57,barley
137,124,169,24.52,65.64,6.28,181.31,sugarcane
38,138,180,22.58,66.76,7.13,104.75,sugarcane
73,123,40,19.35,58.28,6.68,74.79,wheat
44,50,111,21.4,87.24,6.05,204.91,rice
87,18,197,28.12,78.69,6.18,157.36,sugarcane
50,85,94,24.17,39.05,7.25,87.83,barley
84,115,122,27.15,41.87,5.86,87.56,millet
87,30,128,23.6,60.68,6.03,140.99,soybean
61,71,141,29.91,73.05,6.01,181.99,sugarcane
137,106,112,28.09,51.34,5.63,99.13,cotton
42,34,106,11.6,53.0,6.61,104.77,peas
35,125,5,20.58,44.31,6.12,65.49,wheat
67,20,39,28.84,38.95,5.59,87.24,millet
19,16,190,25.35,49.51,7.95,61.5,cotton
12,141,185,28.14,54.28,5.87,94.35,cotton
16,30,182,31.73,35.44,6.7,71.74,millet
41,54,160,28.92,67.64,6.25,78.84,groundnut
67,96,160,28.69,54.66,7.46,119.61,groundnut
63,27,51,22.12,54.5,7.46,60.12,peas
132,77,103,23.84,68.76,6.92,156.47,sugarcane
33,141,201,27.29,43.82,6.61,89.99,cotton
122,38,85,20.47,66.34,7.09,123.52,sugarcane
12,71,47,16.12,44.06,6.93,81.95,barley
44,117,180,20.75,67.09,6.2,115.41,soybean
38,111,165,21.92,70.22,5.5,288.1,rice
19,100,99,20.07,68.46,6.83,175.12,sugarcane
35,139,178,34.19,65.7,6.11,137.48,sugarcane
28,15,11,29.28,74.44,6.54,179.42,sugarcane
85,23,32,23.89,63.33,6.35,82.6,soybean
107,30,58,25.96,52.03,6.91,94.81,cotton
0,73,181,24.28,77.06,6.2,156.79,sugarcane
136,11,25,29.81,60.09,6.04,126.88,sugarcane
103,18,119,24.85,61.62,6.1,121.41,soybean
7,19,167,20.11,47.44,6.26,48.31,millet
87,108,163,26.52,61.27,6.21,142.4,soybean
23,78,150,28.58,61.99,7.06,128.32,maize
133,124,170,10.67,58.37,6.42,81.62,peas
102,125,84,22.22,52.96,6.2,86.09,wheat
16,105,52,26.98,76.83,7.41,136.95,soybean
85,72,139,25.93,53.79,7.71,62.14,cotton
16,8,57,36.95,54.92,6.41,93.54,cotton
74,91,105,13.92,54.49,6.19,67.9,wheat
52,142,61,34.1,57.04,7.21,109.72,groundnut
37,121,114,25.91,53.6,5.51,147.32,maize
87,83,186,21.0,73.58,6.05,167.99,sugarcane
45,42,170,13.34,42.08,6.41,98.21,wheat
59,19,50,30.67,61.07,7.28,85.4,groundnut
88,56,8,16.86,42.1,7.3,88.19,barley
90,7,133,27.39,68.79,6.48,115.8,sugarcane
67,135,169,24.53,67.65,6.97,147.79,soybean
104,27,157,24.35,82.61,7.28,102.93,sugarcane
11,19,48,27.62,70.21,6.22,179.78,sugarcane
13,93,106,14.72,42.18,6.57,90.28,barley
49,98,54,23.91,74.39,6.52,173.07,sugarcane
37,115,38,29.55,69.52,6.44,68.63,groundnut
53,63,31,14.1,44.87,7.07,67.12,wheat
115,26,144,24.32,31.95,7.22,93.54,barley
82,32,144,26.79,65.37,7.19,92.97,groundnut
17,54,184,28.31,62.95,7.26,93.67,groundnut
48,90,180,11.88,57.9,6.04,66.4,wheat
124,115,95,21.03,57.89,6.17,147.3,maize
52,139,144,25.1,70.89,6.44,235.5,rice
75,84,141,31.44,68.95,6.94,148.15,sugarcane
43,32,181,18.41,51.14,7.17,65.43,peas
111,22,171,29.97,42.83,5.03,88.66,millet
73,45,21,22.06,43.62,7.08,87.45,wheat
104,72,107,20.31,83.95,6.81,106.78,sugarcane
13,100,82,26.05,44.78,5.61,48.42,millet
1,69,147,16.72,42.71,7.3,55.06,wheat
17,77,171,33.25,69.17,7.17,118.18,groundnut
30,71,7,17.87,43.13,6.96,61.79,barley
115,78,126,29.92,70.08,6.78,183.21,sugarcane
71,63,66,30.84,61.55,7.07,75.3,groundnut
115,18,170,28.56,60.81,6.25,72.79,maize
107,103,195,18.16,51.49,6.45,59.39,wheat
115,52,78,32.29,89.61,5.51,158.28,rice
115,16,130,24.28,40.82,6.41,67.15,barley
108,85,89,28.78,70.87,6.01,105.17,sugarcane
61,22,110,36.95,48.61,6.63,94.13,cotton
96,77,196,24.63,65.76,6.24,135.14,sugarcane
120,19,105,12.65,47.24,6.41,84.82,wheat
16,120,111,11.6,68.73,6.49,87.1,peas
122,68,73,10.66,46.93,7.17,73.66,barley
109,31,53,27.3,62.81,6.35,147.0,maize
53,31,91,25.51,61.98,6.27,65.09,maize
125,142,90,14.57,54.72,6.87,62.62,wheat
121,133,33,31.88,69.81,7.25,51.79,groundnut
85,58,195,36.48,55.68,7.98,90.87,cotton
31,44,177,25.99,62.97,6.74,106.23,groundnut
112,56,73,21.57,38.24,6.56,42.91,millet
41,6,117,24.5,50.74,6.02,64.64,maize
16,65,67,27.34,70.96,6.68,180.05,sugarcane
24,112,22,21.43,59.33,6.87,78.74,maize
84,139,36,29.52,53.4,5.78,88.82,cotton
81,133,93,20.79,42.77,6.26,108.59,wheat
21,59,124,26.97,79.22,7.32,107.92,soybean
29,70,152,34.06,70.67,6.19,129.35,sugarcane
138,113,138,19.99,34.1,7.44,67.47,barley
50,94,204,19.84,48.17,7.42,54.47,barley
121,142,11,34.2,37.01,6.91,89.97,millet
112,43,89,21.12,60.42,6.62,91.66,maize
42,79,156,20.8,73.84,6.68,113.57,soybean
81,26,159,31.95,78.33,6.11,182.07,sugarcane
110,86,205,21.86,65.96,6.9,133.37,soybean
54,143,88,25.83,31.54,5.53,43.59,millet
122,33,76,19.19,34.77,7.35,94.16,barley
39,32,45,28.91,59.04,6.27,62.08,groundnut
117,93,46,33.36,80.4,5.66,228.3,rice
79,113,56,22.0,51.32,6.24,101.29,peas
11,89,37,34.75,75.97,6.52,268.6,rice
82,73,193,12.71,56.55,7.39,83.13,peas
56,132,125,26.09,52.29,6.36,69.07,maize
15,79,27,29.19,68.28,7.23,136.72,maize
76,106,195,18.92,46.76,6.16,98.51,wheat
103,18,32,34.54,31.08,6.33,42.88,millet
108,134,103,27.2,71.15,5.76,157.88,rice
131,128,92,28.94,69.73,7.0,70.79,maize
88,61,163,22.04,39.54,5.12,59.35,millet
113,16,23,21.09,82.26,5.58,286.95,rice
0,18,140,31.31,47.92,6.02,36.9,millet
52,143,188,24.5,76.55,6.82,116.87,soybean
70,12,103,22.58,65.81,6.74,85.83,peas
64,106,193,28.82,78.29,6.04,120.81,soybean
106,100,190,13.08,41.51,7.39,67.7,barley
132,41,107,26.98,61.15,6.47,175.23,sugarcane
6,23,28,22.08,48.64,6.32,103.52,wheat
136,124,165,25.24,72.72,6.69,148.44,soybean
62,103,35,24.6,77.93,6.34,133.19,soybean
108,51,191,28.94,42.9,6.93,91.69,cotton
7,75,58,31.41,32.63,6.15,33.38,millet
81,5,14,38.21,59.16,7.66,54.57,cotton
42,145,173,25.84,64.68,7.13,187.87,sugarcane
26,49,12,15.6,45.15,6.55,102.34,wheat
16,61,45,33.05,43.94,6.85,90.95,cotton
121,20,25,10.83,57.82,7.17,95.57,peas
14,14,152,36.52,55.01,6.09,72.77,cotton
95,11,48,14.47,66.15,7.47,118.54,peas
114,144,162,24.86,44.69,5.52,31.45,millet
89,23,107,17.52,57.92,7.1,64.22,peas
62,134,176,14.19,44.52,6.19,97.18,wheat
37,98,92,25.11,70.35,6.2,114.76,soybean
51,140,82,37.42,48.88,7.12,67.67,cotton
38,77,183,22.6,78.7,6.95,210.76,rice
4,67,197,22.45,65.0,6.61,106.63,maize
88,31,13,31.98,41.35,6.62,96.53,cotton
72,28,24,18.07,45.96,7.46,57.57,wheat
136,59,176,31.88,73.45,7.1,169.27,sugarcane
47,102,166,12.41,40.42,6.46,104.91,wheat
107,93,63,22.65,53.72,6.04,99.24,peas
92,52,188,26.86,84.69,7.16,121.85,sugarcane
44,101,161,23.73,68.34,7.32,143.17,sugarcane
128,37,136,26.68,49.42,6.59,39.35,millet
74,124,148,24.77,56.17,7.33,117.3,maize
9,80,204,20.71,40.0,6.86,89.68,barley
65,32,44,34.65,75.13,6.16,190.94,sugarcane
111,21,70,29.2,54.69,7.1,97.7,cotton
15,76,113,25.17,87.43,5.9,191.42,rice
137,114,8,21.0,72.92,6.85,210.25,rice
102,6,203,34.06,86.84,6.4,267.72,rice
37,136,174,24.96,49.0,6.95,77.17,barley
14,99,154,24.8,64.14,7.03,140.47,soybean
5,88,124,10.86,67.19,6.17,60.32,peas
76,105,187,11.37,58.23,6.34,51.94,wheat
10,48,202,25.73,65.58,7.37,141.38,soybean
94,112,162,25.96,50.05,7.62,77.06,cotton
31,11,88,32.66,72.35,7.0,203.32,rice
37,52,48,27.72,75.54,6.23,83.84,soybean
73,92,111,33.0,82.81,7.37,148.85,sugarcane
111,36,19,32.58,52.29,5.99,53.31,cotton
45,85,52,39.96,58.87,7.56,54.65,cotton
126,38,165,23.39,40.87,5.43,89.23,millet
20,135,164,21.44,38.0,5.92,73.63,millet
67,24,181,23.05,57.09,7.44,80.46,maize
37,57,128,17.07,32.89,6.57,98.74,barley
59,39,66,24.15,69.3,6.02,74.95,peas
19,76,55,16.43,36.53,6.77,95.06,barley
90,21,53,23.32,60.11,6.8,112.84,soybean
57,102,108,22.54,53.93,7.04,71.92,wheat
77,35,155,38.77,45.02,7.67,63.69,cotton
136,77,73,16.0,46.05,6.51,109.06,wheat
138,16,181,21.2,75.75,7.14,107.14,soybean
103,83,167,32.21,56.67,7.08,65.48,groundnut
96,56,186,22.9,48.54,7.45,91.32,barley
96,17,20,31.22,63.1,6.36,144.34,sugarcane
93,123,43,32.07,69.34,6.95,78.71,groundnut
1,59,37,35.77,50.76,7.34,96.76,cotton
15,47,79,12.05,47.31,6.65,55.32,barley
114,68,157,17.06,37.97,6.47,95.8,barley
96,82,125,28.86,66.13,6.76,116.04,groundnut
87,70,131,25.29,72.27,6.59,114.7,sugarcane
90,117,83,21.67,43.24,6.64,83.74,barley
115,74,148,29.3,71.28,7.19,195.62,sugarcane
31,96,51,28.26,64.13,7.24,92.92,maize
83,69,31,28.0,67.81,6.52,147.18,soybean
105,131,30,14.18,61.25,6.99,117.92,peas
99,61,201,22.57,35.44,5.61,66.95,millet
34,115,50,34.09,34.46,6.25,81.45,millet
106,40,47,23.54,48.6,6.54,83.3,wheat
16,23,28,26.26,64.77,7.21,83.47,soybean
77,58,153,32.97,74.09,6.06,284.51,rice
123,120,109,23.61,32.67,5.72,84.24,millet
54,109,106,17.22,67.3,6.87,78.64,peas
16,109,203,12.41,32.37,6.46,71.69,barley
33,115,182,25.16,49.69,6.87,87.64,cotton
52,140,64,22.19,74.71,7.04,111.33,soybean
83,70,170,34.35,56.61,6.73,108.47,groundnut
75,50,95,14.97,51.55,7.04,84.29,wheat
125,142,77,32.76,48.71,6.76,32.1,millet
123,25,124,34.33,36.38,6.95,47.34,millet
130,141,133,25.85,56.42,7.45,96.16,groundnut
93,35,79,24.1,66.82,6.74,105.36,peas
125,30,69,26.13,69.72,6.67,70.55,maize
123,126,86,16.91,52.21,6.39,52.07,wheat
56,90,126,12.64,60.06,6.6,96.4,peas
121,90,144,26.52,58.18,6.41,50.11,groundnut
16,126,81,22.07,84.89,6.51,128.89,sugarcane
73,59,27,32.79,74.37,5.58,228.31,rice
66,32,17,29.98,58.52,7.5,112.69,groundnut
38,47,37,32.01,59.49,6.38,70.52,groundnut
96,13,25,23.16,68.48,6.25,188.62,sugarcane
28,144,140,21.55,75.27,6.87,93.96,soybean
137,73,70,10.41,39.47,6.81,58.33,barley
6,96,152,27.0,82.54,6.24,211.2,rice
14,32,188,31.68,65.81,6.89,72.69,groundnut
135,17,85,38.19,50.04,6.92,72.99,cotton
26,75,121,21.06,40.68,5.03,70.58,millet
26,8,145,24.9,75.79,6.88,130.99,sugarcane
49,95,195,18.31,55.28,5.77,70.81,maize
1,74,73,20.97,81.24,5.98,175.05,rice
5,11,42,25.33,65.48,7.43,82.55,soybean
137,5,42,23.75,47.36,5.41,50.31,millet
46,64,123,25.69,75.82,6.23,136.64,soybean
138,25,196,39.54,51.22,6.39,69.55,cotton
92,50,58,14.28,40.52,7.48,78.9,wheat
65,72,80,11.07,68.84,6.49,64.61,peas
88,38,117,19.79,51.51,7.25,100.45,maize
10,124,64,19.62,56.89,6.55,58.7,wheat
140,29,149,34.52,52.53,7.11,53.8,cotton
21,6,159,31.78,61.04,6.41,114.03,groundnut
37,91,54,26.45,56.54,5.79,83.19,cotton
43,16,125,25.76,66.1,6.75,101.32,soybean
135,137,146,10.34,52.13,7.44,84.72,peas
35,29,133,33.83,45.61,6.54,71.43,cotton
119,121,23,24.15,79.07,6.25,280.87,rice
12,7,203,21.6,70.79,6.67,116.41,soybean
99,39,170,18.31,39.42,6.58,85.33,barley
11,11,41,31.5,39.83,5.74,68.62,millet
133,49,148,26.98,82.34,6.08,105.55,sugarcane
122,70,14,18.85,59.18,6.24,82.72,wheat
45,12,55,32.09,42.14,6.71,63.33,cotton
136,97,180,16.74,49.62,7.09,91.94,wheat
35,86,49,28.45,53.02,7.09,68.26,groundnut
97,6,184,23.76,42.49,5.9,86.03,millet
29,6,28,22.82,63.14,6.41,135.88,sugarcane
135,93,89,25.46,59.23,7.08,55.89,groundnut
79,29,76,21.94,74.5,6.97,246.12,rice
57,61,164,26.19,76.64,5.71,195.64,rice
81,132,77,12.8,46.88,7.21,100.62,wheat
45,102,65,10.75,40.97,7.19,110.04,wheat
121,123,51,30.31,58.42,5.72,98.83,cotton
14,137,67,29.42,33.41,5.53,88.9,millet
65,23,112,33.68,38.81,6.28,77.6,millet
39,138,192,23.58,49.24,7.36,44.33,barley
131,92,54,20.82,78.66,6.29,148.55,soybean
133,83,171,16.07,63.4,6.47,76.4,peas
52,71,132,34.03,66.43,6.72,93.6,groundnut
29,31,62,19.82,46.2,6.84,103.92,wheat
48,85,99,28.32,51.97,7.18,67.23,cotton
133,124,148,17.62,34.24,6.72,91.41,barley
88,56,75,32.39,80.52,5.5,176.23,rice
131,44,181,14.07,43.53,7.17,96.17,barley
125,86,200,30.35,80.8,6.98,221.52,rice
13,98,185,21.04,46.78,6.04,101.9,wheat
101,88,82,33.65,54.4,7.33,66.24,cotton
70,114,78,20.63,55.1,6.97,136.67,maize
103,83,202,32.68,48.72,6.63,88.32,millet
68,115,183,21.03,68.73,6.9,137.04,soybean
85,138,78,21.89,78.46,7.32,105.01,soybean
97,79,65,22.84,74.15,7.48,135.66,sugarcane
0,31,170,12.26,42.06,6.38,59.01,barley
100,109,139,26.95,82.35,6.89,187.56,sugarcane
135,66,70,22.82,51.84,6.69,99.93,peas
27,72,167,11.77,58.92,6.88,87.67,wheat
137,109,8,24.74,42.76,6.07,112.67,wheat
33,106,97,21.32,87.56,5.88,182.34,rice
75,56,73,25.51,44.61,6.88,82.28,millet
81,47,28,28.19,41.48,6.6,90.35,cotton
127,91,141,21.01,50.68,7.13,83.53,peas
3,136,113,13.84,60.77,7.43,85.51,peas
42,42,68,21.58,77.15,6.01,208.73,rice
22,46,16,27.63,44.35,6.05,56.58,cotton
114,97,164,36.78,46.46,6.46,82.89,cotton
107,53,147,25.67,67.15,6.09,69.81,groundnut
34,12,184,20.43,44.43,6.07,78.92,barley
133,82,21,30.15,51.76,7.45,52.59,cotton
128,59,193,20.31,40.93,6.65,63.35,wheat
10,86,5,22.01,45.58,6.49,61.37,millet
30,99,116,29.89,61.67,6.75,195.18,sugarcane
76,106,15,28.54,60.71,7.47,106.48,groundnut
21,145,42,19.68,58.81,5.71,79.46,maize
4,132,55,27.36,66.92,6.79,94.21,groundnut
78,27,84,12.48,56.63,7.1,69.32,peas
9,10,75,29.33,58.01,7.22,94.04,cotton
92,89,88,29.18,65.63,6.32,79.86,groundnut
118,66,156,32.55,80.69,6.53,182.06,sugarcane
91,112,147,34.54,68.57,6.51,137.54,sugarcane
124,83,173,31.38,74.57,5.71,167.94,rice
11,55,204,11.16,59.1,7.39,77.9,wheat
77,75,182,14.84,52.98,6.3,112.34,wheat
137,43,21,33.47,75.0,6.39,179.91,rice
112,28,128,26.7,55.19,6.26,66.42,groundnut
124,100,15,31.51,57.81,5.88,93.77,cotton
20,10,7,28.27,48.21,5.96,61.84,millet
127,61,112,18.92,51.38,6.59,91.44,wheat
51,72,43,19.68,61.76,6.51,61.85,maize
37,33,87,20.44,64.95,6.72,197.15,sugarcane
20,140,160,29.34,69.04,6.7,114.63,groundnut
64,72,105,34.9,33.85,6.17,76.1,millet
74,47,52,34.16,42.67,6.07,78.8,cotton
108,15,18,24.42,76.96,5.98,276.62,rice
21,88,14,34.53,54.83,7.18,102.38,groundnut
36,112,161,23.37,82.92,6.17,213.59,rice
88,12,31,30.93,60.34,6.04,164.04,sugarcane
5,125,123,11.89,40.58,6.76,96.08,barley
69,74,73,20.81,40.13,6.96,67.05,wheat
41,118,36,18.78,66.42,6.44,113.94,peas
137,10,181,10.03,62.11,6.92,63.11,peas
29,61,169,32.13,34.15,6.91,42.63,millet
121,17,121,35.37,45.57,7.17,98.53,cotton
23,69,40,24.4,67.08,7.17,171.34,sugarcane
121,139,169,30.41,54.91,7.3,60.38,cotton
66,142,86,38.07,43.54,6.49,66.55,cotton
11,96,31,18.92,54.82,6.22,68.68,wheat
91,15,56,28.02,79.84,7.41,85.97,soybean
130,24,139,27.3,54.73,6.68,75.85,groundnut
105,43,183,22.05,83.45,6.39,151.91,rice
78,23,19,30.84,72.48,6.49,251.92,rice
11,6,30,22.66,72.92,6.86,178.22,rice
4,88,79,18.1,36.07,7.11,72.1,barley
109,59,87,26.54,59.12,6.94,74.11,groundnut
69,73,77,21.0,79.84,5.54,239.55,rice
51,129,181,27.75,56.42,6.79,101.82,groundnut
127,70,170,32.55,71.66,6.82,106.85,sugarcane
63,39,76,21.73,48.01,6.03,42.9,millet
35,31,71,31.38,48.93,7.35,75.16,cotton
55,72,63,28.71,71.65,5.89,183.58,rice
99,98,151,22.59,78.43,7.35,84.09,soybean
54,135,155,24.22,82.87,6.45,130.2,sugarcane
42,113,171,28.55,47.78,6.62,37.86,millet
79,88,58,21.44,63.3,6.74,108.42,maize
36,12,104,24.13,65.49,6.97,110.81,sugarcane
69,52,8,23.89,55.99,6.93,77.73,peas
22,42,51,11.15,57.13,6.08,53.04,wheat
111,92,182,29.47,73.44,6.15,140.05,soybean
53,60,29,39.74,46.99,7.47,99.37,cotton
121,23,77,29.83,76.98,5.67,284.42,rice
92,137,179,19.43,36.0,6.47,40.05,barley
96,27,97,27.48,58.78,6.22,52.95,groundnut
60,107,16,29.1,78.49,5.64,159.36,rice
22,78,29,22.39,70.75,7.02,133.99,soybean
59,61,159,25.19,76.44,6.27,92.1,soybean
22,66,187,38.33,54.86,6.94,77.01,cotton
49,144,109,23.7,79.92,5.78,220.61,rice
61,141,18,25.53,51.88,6.16,67.22,groundnut
67,31,75,31.34,55.86,7.31,75.6,cotton
98,40,54,29.2,61.02,6.81,100.96,groundnut
90,22,112,28.2,51.84,6.75,96.36,maize
103,120,44,24.11,77.72,6.27,198.66,sugarcane
96,62,115,33.68,61.1,7.18,81.3,groundnut
14,66,160,30.75,36.33,6.4,69.4,millet
32,106,44,28.66,63.25,6.68,85.28,maize
105,130,139,23.21,69.28,6.74,92.61,maize
116,75,129,34.77,64.72,6.14,112.18,groundnut
2,26,29,14.8,53.22,6.41,105.69,wheat
82,95,73,28.89,78.98,5.99,188.51,rice
82,38,197,22.09,56.15,7.48,96.92,wheat
96,39,140,13.03,38.98,6.98,79.96,barley
21,42,187,19.84,55.17,7.44,88.75,wheat
133,53,30,24.56,56.91,5.55,79.06,maize
103,43,47,23.78,34.17,6.51,65.25,millet
7,80,108,11.22,58.88,6.24,69.8,peas
72,101,40,24.47,36.5,7.17,80.5,barley
102,118,84,28.55,50.72,6.78,77.56,groundnut
53,57,196,18.71,64.02,7.08,83.47,peas
123,114,126,39.55,45.57,5.75,54.55,cotton
115,9,95,19.38,57.82,7.23,62.38,maize
79,101,49,21.85,69.16,7.26,148.39,soybean
87,83,138,17.64,36.29,6.56,67.11,barley
107,109,127,17.45,56.57,6.74,83.26,peas
123,37,23,29.23,76.51,6.42,204.07,rice
116,132,181,13.55,56.19,6.52,94.66,peas
16,101,193,34.04,61.24,7.31,141.48,sugarcane
95,78,123,33.51,71.45,6.31,168.02,sugarcane
128,131,28,28.35,34.98,5.15,38.11,millet
23,73,56,22.29,58.44,6.41,80.56,maize
30,22,171,11.23,58.81,6.72,104.63,peas
60,106,94,25.61,47.54,5.63,71.32,millet
14,54,203,19.83,57.12,6.78,121.68,maize
21,41,178,13.45,60.72,6.76,86.61,peas
43,90,79,14.93,63.84,7.01,87.47,peas
139,127,45,13.44,58.68,6.32,77.92,peas
74,12,128,20.72,44.85,5.85,70.43,millet
6,52,123,19.58,62.27,7.39,90.92,peas
77,115,189,20.18,53.37,7.22,70.73,wheat
35,84,26,14.46,37.3,6.68,80.22,barley
135,28,10,20.08,56.83,7.15,122.82,maize
43,142,183,21.28,70.89,6.23,174.71,rice
108,42,158,27.72,88.71,5.91,183.5,rice
53,77,193,11.99,66.54,7.42,109.83,peas
0,25,178,22.06,66.17,7.26,86.25,peas
70,25,75,17.42,68.42,6.43,91.65,peas
71,42,98,29.03,57.9,6.5,89.86,groundnut
33,72,36,25.48,59.34,6.35,80.04,cotton
61,46,203,19.09,54.69,6.53,71.7,maize
44,28,168,24.48,77.27,6.66,180.1,rice
23,91,152,25.05,50.91,6.4,63.01,maize
58,113,82,27.84,33.01,6.69,39.24,millet
61,29,44,29.54,55.54,6.58,126.81,maize
59,64,107,23.2,59.22,7.02,101.24,peas
114,143,169,19.58,63.48,5.91,62.4,maize
37,19,148,27.22,66.22,6.39,83.06,maize
61,99,132,20.61,69.29,6.71,191.58,sugarcane
69,104,15,18.13,51.3,6.37,128.32,maize
93,139,12,39.26,40.77,7.34,81.94,cotton
24,115,106,19.36,47.08,6.83,90.77,wheat
26,22,99,31.94,80.39,6.03,141.18,sugarcane
6,95,95,10.66,62.3,6.15,83.96,peas
62,24,36,22.64,73.45,6.66,130.35,soybean
124,20,85,31.85,75.83,5.98,272.98,rice
65,107,11,21.0,41.41,6.7,54.47,millet
108,33,160,31.36,84.03,7.21,152.91,sugarcane
12,102,131,33.13,55.37,7.2,53.58,cotton
32,28,143,21.24,69.13,6.15,169.58,sugarcane
34,109,179,23.76,43.9,7.18,98.15,wheat
113,130,8,28.29,62.09,5.78,127.42,maize
110,6,147,22.44,32.65,7.06,86.82,barley
41,128,105,18.11,42.43,6.98,114.21,wheat
13,49,85,36.81,49.3,7.06,60.97,cotton
5,21,202,24.28,55.49,7.47,53.56,wheat
127,62,175,24.96,33.43,6.55,90.25,barley
93,114,36,21.26,41.97,7.33,55.72,barley
35,105,51,28.03,48.78,6.6,54.6,millet
65,9,205,23.59,39.02,6.93,65.6,millet
26,98,86,22.42,35.45,5.98,72.18,millet
125,104,160,28.01,62.21,6.58,120.07,soybean
60,20,50,27.38,49.41,6.21,44.06,millet
103,74,41,21.39,84.01,6.8,269.3,rice
20,134,74,18.83,59.74,5.71,119.69,maize
50,45,116,20.36,84.3,6.87,239.82,rice
34,55,81,20.12,66.04,6.81,91.54,soybean
53,112,175,22.36,64.78,6.88,129.74,soybean
36,67,159,33.84,65.48,7.18,87.3,groundnut
102,67,169,31.54,62.95,7.09,60.48,groundnut
59,126,25,25.16,69.0,6.7,134.15,soybean
90,24,103,26.51,80.63,6.56,190.14,sugarcane
103,101,189,28.85,43.96,5.71,81.56,cotton
42,55,51,29.05,42.36,6.63,63.51,millet
35,53,26,27.72,84.15,5.76,223.78,rice
93,51,205,23.42,52.31,6.07,144.29,maize
115,97,136,22.19,51.76,7.09,96.72,maize
140,7,146,31.97,40.62,5.63,62.03,cotton
86,126,124,12.85,48.36,7.23,82.73,barley
92,134,158,27.21,51.34,5.83,53.45,cotton
109,64,48,17.23,66.21,6.45,96.23,peas
131,5,175,23.3,82.79,6.59,172.56,rice
24,55,136,28.91,66.59,7.31,108.06,sugarcane
34,114,14,34.87,44.26,7.26,98.77,cotton
2,139,174,31.54,70.96,6.11,199.52,rice
96,42,98,29.09,45.54,6.82,65.6,cotton
94,39,75,22.84,40.51,6.25,78.43,barley
85,27,203,20.34,42.61,6.37,43.07,millet
42,35,180,20.17,62.52,6.15,87.5,peas
10,94,31,21.89,74.59,6.58,126.92,soybean
76,130,97,23.74,55.02,6.72,99.48,wheat
58,15,84,37.36,47.23,6.61,51.9,cotton
53,101,20,34.88,36.36,6.38,62.6,millet
78,55,123,29.72,58.47,7.27,84.79,maize
140,56,61,12.32,50.48,6.6,79.79,wheat
79,63,178,27.3,45.42,5.91,85.79,millet
77,117,199,13.35,53.51,6.58,97.03,peas
62,58,173,23.64,66.85,5.6,89.83,maize
123,36,34,32.03,72.67,6.69,241.13,rice
29,121,149,14.48,47.93,7.22,48.59,barley
128,22,204,24.1,57.31,6.07,51.56,wheat
109,45,12,37.91,47.69,7.6,81.8,cotton
21,46,95,20.71,41.32,7.11,102.32,wheat
17,51,140,17.45,46.14,7.22,64.46,barley
42,129,57,32.29,77.5,7.25,186.29,sugarcane
22,83,99,13.02,32.63,6.48,50.34,barley
17,124,89,27.38,72.71,6.69,264.88,rice
84,115,72,31.93,46.19,5.59,53.06,millet
82,42,31,28.02,75.59,6.34,114.04,soybean
88,116,142,29.54,42.67,6.55,89.1,millet
89,34,37,19.42,55.64,7.1,73.4,peas
65,86,204,19.7,56.66,7.38,78.42,peas
25,141,153,19.75,64.51,6.36,102.95,maize
102,105,165,21.04,36.07,5.38,73.25,millet
102,114,197,23.83,76.63,6.94,87.7,soybean
10,35,197,19.19,67.16,6.42,84.69,maize
17,33,55,22.61,36.73,7.16,65.27,barley
70,49,122,19.31,51.98,6.95,116.28,maize
